[欧美私人订制] 最懂你的欧美推荐 每日更新35首,欧美,介绍：收藏专属于你的欧美日推每天和喜欢的欧美音乐不期而遇,172万,118600800,35,15913
『凯尔特民谣』来自西欧风情的悠扬之音,民谣-欧美-英伦,介绍：凯尔特民谣起源于中世纪欧洲英伦三岛凯尔特人的一种传统音乐。传统的凯尔特音乐古老优美、源远流长。以提琴、手风琴、竖琴、爱尔兰布祖基／长笛，手风琴，宝思兰鼓、哨笛和风笛等极具韵味的乐器为代表，发展出一种无与伦比的遗世独立的气息，这也正是凯尔特音乐带给人的核心意象。她有重迭的和声，有传说般的回响，飘渺的歌吟和旷远的合唱。在器乐上竖琴和风笛是最常用的凯尔特特色乐器它们配合凯尔特歌唱，流泛着同样或相通的声音气质，凯尔特民歌旋律普遍是中世纪调式的，很少有装饰音，也较少跨跳式的行进;平缓地发展、简单地回旋，旋律有一种虚幻感和消逝感。低低的琴，沉沉的心，自由如你，自由如我。清清的音乐，清清的风，心也清清地落下。听一曲凯尔特民谣，让心灵驰骋在英伦三岛的旷野之上，异域之风拂过心间，让心灵得到片刻的宁静。简单科普几位典型的凯尔特音乐家：1、Loreena Mckennitt（罗琳娜.麦肯尼特)加拿大著名的爱尔兰竖琴演奏家、键盘手，以及歌手。她以创作、表演凯尔特和中东风格音乐以及女高音演唱而闻名。2、Alan Stivell(艾兰.斯蒂夫)出生于法国Bretagne(法国凯尔特人聚集区)，他是著名的世界级凯尔特竖琴大师，三十年来勤力推广凯尔特民族音乐和新音乐的融合(Fusion)，功勋卓著。3、Enya（恩雅)对于恩雅似乎不用多说，她简直就是当代凯尔特音乐的代言人，这位著名的爱尔兰籍音乐人，她的声音纯美安静，旋律优美而深邃，超凡脱俗，神秘圣洁，给人以无限的遐想。4、The Chieftains酋长乐队成立于60年代。乐队成立时，其大部分成员都已是都柏林市最好的民乐艺术家。他们以古老的乐器演奏传统乐曲，这些乐器大致包括:肘臂风笛、提琴、木笛、锡哨、双风箱手风琴、竖琴和羊皮鼓，这也是爱尔兰土地上流传最普遍的乐器。5、Celtic Woman凯尔特女人乐队又名“天使女伶”，是全球最为瞩目的超实力美声跨界组合。凯尔特女人的音乐融合了新世纪、古典、传统凯尔特乐风与爱尔兰音乐等风格。6、De Dannan在七八十年代，坚持凯尔特传统乐风的团体中，最著名的当属地丹南乐队。地丹南拥有美妙的和声，传统而不失现代感的电声配器，团员玛拉.奥康纳、道拉斯.金与玛丽布莱克，人人都拥有一副曼妙动人的好嗓，所以每个人都发展的很好。后期指导：风笛手的呼唤,73840,2721342,95,224
草*莓°泡*泡°糖°○°*清甜肆意绽放,欧美-清新-流行,介绍：封面来自 网络产品名称:泡泡糖甜味大缤纷选曲风格:可爱 微甜 少女歌曲风味:草莓味 牛奶味 甜橙味 冰淇淋味 玫瑰蜂蜜味 西柚味 蓝莓味 蔓越莓味主要原料:欧美开口脆/可爱/俏皮女声—————————————————画重点添加剂:好心情催化剂可食用色素:活力黄 少女粉 葡萄紫营养成分:能量 204kJ碳水化合物 8.6g自信心 86%少女心 100%食用方法:顺序播放↪或随机播放生产日期:2019.10.7（请将食用感受填写在评论区☆）,12189,499958,82,102
不插电Acoustic | 回归本真，纯净空灵,欧美-流行-放松,介绍：听厌了插电版的音乐，不如换种方式来听听纯粹的原音，感受不一样的听觉盛宴! acoustic music ，特指利用木头、金属等材质制作的不依靠电力驱动，区别于 electronic music。acoustic music 也叫做 unplugged music （不插电的音乐，起源于 MTV Unplugged 这个节目）或者 unwired music（不带着电线的音乐）acoustic，褪去华饰，拥抱本真！加了几首stripped哈！———————————————————这个歌单送给正在焦虑 烦恼面对学业和工作压力的你！❤️没有不可治愈的伤痛，没有不能结束的沉沦。所有失去的，会以另一种方式归来。—约翰·肖尔斯 《许愿树》,33191,1491623,95,212
『土嗨』那些无限循环的欧美劲曲,欧美-流行,介绍：Just hi fun生活不要悲伤，只要嗨！赶走负能量！宁缺毋滥，每首必属精品！！DJ与电子元素，节奏非常强烈、明快，但并非那种很吵的。本人也是非常非常喜欢这种风格的流行歌曲，非常适合开车或者跑步的时候听噢！此歌单持续更新ing…，同时也会清除一些不合格的歌,27027,1376088,55,280
 ⚡️ 电驾修仙俱乐部4.0,电子-欧美-酒吧,介绍：北京市第三区交通委提醒您，道路千万条，安全第一条，行车不规范，亲人两行泪。,42021,2760774,103,122
韩信战歌（推荐随机播放）,游戏-舞曲-欧美,介绍：开局红开，对面打野红开，入侵对面蓝区反蓝，刷完一波野，和辅助上路gank，抓完上路开小龙，打完龙gank中路，抓完中路刷野怪，前期多抓上路，中路，中期顺风注意控龙召集队友强行开团，团战成功推塔（重要的事说三遍：推塔！推塔！推塔！）逆风清线猥琐发育避免团战。尽量不拖后期，后期卖打野刀换辉月，蹲草丛等待敌人占位密集时二一挑飞接大招并接辉月，辉月秒换复活甲，复活甲触发秒换名刀。（一定要等到敌人控制技能处于冷却状态时进场收割。）铭文：10祸源，10鹰眼，10夺萃出装：红色打野刀，攻速鞋，暗影战斧，无尽，宗师，破军（也可以双无尽）连招：二技能+一技能一段+A+大招+AA+一技能二段+AA（常规连招）技能一段+大招+一技能二段撤离战场，然后二技能调整位置，入场再次进行收割（开团连招）想要玩好韩信必须要有超快的手速，和很强的意识懂得和队友配合抓人。如果一个韩信玩的出神入化有可能扭转战局。总之要多练习才能驾驭这个英雄。口头禅：敢动我野区，看我不掀翻你的天灵盖。,15740,800640,195,209
和平精英【吃鸡视频必备BGM】,欧美-游戏-快乐,介绍：祝收藏此歌单的人把把吃鸡，还有歌单建议随机播放,63511,3510883,100,696
【高质量电音】游戏专用,欧美-电子-游戏,介绍：第一次制作歌单，如果有不好的地方请私信我改正~比如歌曲不符合标题什么的。（其实每周都会更新的;w;）QQ：3393825573最近单主沉迷日语，更新放慢辣（不是,13062,500466,322,79
【Future bass】色彩漩涡，摄人心魂,欧美-电子,介绍：Future bass优质精选曲目,2678,229490,110,21
挑动律动神经的Dubstep音乐集,欧美-电子,介绍：Dubstep优质精选曲目,3225,433438,101,20
浩室音乐集，回溯灵魂深处,欧美-电子,介绍：House优质精选曲目,1495,144109,100,9
「Spinnin’ Records」S厂精选,兴奋-欧美-电子,介绍：Spinnin' Records是荷兰一家独立的电子音乐厂牌，因其发行的单曲封面上有一个大写的英文字母S，故被中国爱好者称为“S厂”，由Eelko van Kooten和Roger De Graaf于1999年共同创立。Spinnin Records唱片发行的歌曲深受全球电子音乐爱好者的喜爱，其不仅在国际音乐网站SoundCloud、Spotify、Beatport、itunes和Apple Music发布音乐，还在中国的音乐网站网易云音乐建立了官方账号，并选择网易云音乐作为其在中国的合作平台，将各国的电音作品介绍到中国,8468,327283,168,20
「欧美冷门」拒绝平庸，旋律至上,电子-欧美-流行,介绍：精心筛选，每一首都是999+预备！「节奏渐强」,9291,412396,47,42
与心跳共频的Techno精选,欧美-电子,介绍：Techno优质精选曲目,1711,197533,101,35
YouTube史上最受欢迎的100首电音作品,欧美-电子-榜单,介绍：YouTube网站由美籍华裔陈士骏等人在2005年创立，总部位于美国加利福尼亚州的圣布里诺，是全球最大的视频分享网站之一，歌单盘点全球最大视频网站YouTube历史上最受欢迎的100首电音单曲，排名根据官方数据排列，截止于2019年6月6日！（位列17位的歌曲Mike Posner - I Took A Pill In Ibiza (Seeb Remix)，被全网下架，替换成Hymn for the Weekend (SeeB Remix)）Lean On 25亿次Faded 23亿次Closer 23亿次This Is What You Came For 22亿次Rockabye 21亿次Wake Me Up 18亿次Party Rock Anthem 16亿次Something Just Like This 16亿次Starboy 15亿次Don't Let Me Down 13亿次Alone 13亿次Taki Taki 13亿次How Deep Is Your Love 12亿次Summer 12亿次Hey Mama 12亿次Animals 12亿次I Took A Pill In Ibiza (Seeb Remix) 11亿次Where Are U Now 10亿次Titanium 10亿次Break Free 10亿次,29652,1130049,100,109
游戏必备（面对疾风吧！）段！,欧美-流行-电子,介绍：音乐交流群：902469961不知道怎么了，给我们歌单贡献了歌曲的名单丢失了，抱歉了各位为什么一个玩游戏的歌单能给你们搞成写作业的？？？？？？？？？给大家加入了几首写作业听的歌，这个歌单并不全是玩游戏的歌单，谁还没个正经的时候啊？这样的话我就加几首安静点的歌进去吧，你们写作业肯定喜欢安静。《walk thru fire》 ID:你看这小汉堡行不行,74684,4209073,171,713
fps/疯狂踩点/打节奏(白给),欧美-游戏,介绍：对峙2/前锋突袭/现代出击踩点打节奏，沙鹰玄学爆头，喷子蹲点守人，ak蹲射，大狙急停甩狙，疯狂刷kd必备。(封面对峙2),74587,3585921,88,681
刷题|节奏轻快旋律惊艳的欧美歌单!!,欧美-流行-学习,介绍：亲测有效.听着这个歌单我写字节奏都快了 效率超高的！！！全部都是我认为好听的歌才收的禁止搬运超级爱欧美歌了 主要来源我的日推欢迎投稿老规矩 日常更新！！！,5614,210137,85,112
打游戏必备【战歌、节奏电音、重金属】,欧美-兴奋-游戏,介绍：建议设置随机播放听着这歌单1V5玩游戏必备的易燃歌曲！都是些平时精挑细选的，燃到爆炸！喜欢就收藏吧，分享给身边喜欢打游戏的朋友吧！,37万,15868574,128,1090
驾车/经典驾车曲目,电子-欧美-流行,介绍：经典驾车必备曲目！安全提醒注意安全驾驶,22280,1426526,62,172
「欧美电子」带感节奏你无法拒绝的好听电音,欧美-流行-电子,介绍：-本歌单适合外出旅行、车载必备、运动健身歌单多以流畅鼓点、优质编曲、魅力嗓音为主,95514,6587621,355,405
Alan Walker(艾伦·沃克)电音歌曲，(更新)。,欧美-电子,介绍：艾兰沃克电音来来来来超好听电音哦,14828,723683,54,80
2019百大DJ TOP100,欧美-电子,介绍：2019全球百大01.Dimitri Vegas & Like Mike02. Martin Garrix03. David Guetta04. Armin van Buuren05. Marshmello06. Don Diablo07. Oliver Heldens08. Tiesto09. Afrojack10. Steve Aoki11. Alok12. Hardwell13. Timmy Trumpet14. R3hab15. KSHMR16. DJ Snake17. Eric Prydz18. W&W19. Calvin Harris20. Lost Frequencies,97698,4428953,100,576
LOL超然BGM丨听完一打九,欧美-电子-游戏,介绍：英雄联盟一打九 喜欢就收藏一下呗！ 欢迎收听,12595,619549,92,72
游戏战歌。没有撤退可言,欧美-电子-兴奋,介绍：要么战斗，要么被遗忘教会他们什么是恐惧,32094,1560032,107,168
王者荣耀 (排位连曲),电子-欧美-游戏,介绍：适配所有王者荣耀 英雄人物排位曲,9920,392518,142,99
笑迎生活‖世间美好统统向你奔来,欧美-流行-清新,介绍：远处的云雾轻拂过黛山橘黄色日落点缀其间有风经过停在窗边这些美好的事物通通向我奔来嘱咐我要热爱这个世界创建日期：11.28封面人物：Winona Ryder,13629,769241,56,147
Future Bass | 冰甜激萌的奇幻音律,欧美-电子-清新,介绍：Future Bass 奇幻贝斯一种充满萌感气息的电子曲风别具一格的灵动drop 惊艳你的双耳就像软萌的糖果 冰爽的汽水冰甜激萌的旋律 带给你一种清爽 卡哇伊的听觉享受,8614,378065,58,46
玩游戏 瞬间爆炸 节奏满满,兴奋-电子-欧美,介绍：游戏嗨爆 瞬间起立 (▼ヘ▼#)你一直想找的游戏歌单主播必备此歌单连更(*๓´╰╯`๓)♡封面图片:明日方舟,23210,809452,71,206
【踩点↑核能】燃爆全场の背景音乐】,欧美-兴奋-运动,介绍：[持续更新] 欧美混剪燃向背景音乐，适合剪剧情向视频和运动的踩点背景音乐，大部分从B站一个一个找的，有点累....更新的歌曲在最下边。,9302,485422,148,121
黑马音乐秀皮皮虾,电子-华语-欧美,介绍：黑马音乐秀皮皮虾发布的作品曲子都在这儿，每一首都来自精挑细选！,5788,186629,197,128
<心动计划>触动你心跳加速的旋律,欧美-流行-放松,介绍：“接下来，迎接你的将会是很好的事情，好到超出预期，你会在迷茫中找到了自我，在治愈的同时理解了自己的内心，一切会开始变好，别担心。”封面：汤姆·赫兰德（Tom Holland）—— Thugliest,50054,2527156,108,502
「欧美电子」无法拒绝的清丽女声,欧美-电子,介绍：歌单精选了200首电子清丽女声，其中有种魔力在悄然释放，即惊艳于耳的女声与迷幻电子音乐彼此碰撞的时候，声音瞬间让人中毒，无法拒绝，沉醉在其中不能自拔。————————————————————————————————歌单一共分了五组，每组按照歌名长度排列，其中每组按着评论数「0-999」「1000-2999」「3000-4999」「5000-9999」「10000-99999」区分。评论数以十月六日为准，以后不做变动。①序号001-040 歌曲评论数在「0-999」安利：《Feelings》《Good Love》《Listen To Me》三首甜甜的“女毒”，听完估计今晚的梦能有十二分的甜度°。②序号041-100 歌曲评论数在「1000-2999」安利：《Show No Fear》《Dark Side (NOTD Remix)》极短前奏，一秒俘获。同时我也特别喜欢《Sleep， For The Weak! (Lost Frequencies Remix)》这首歌。③序号101-140 歌曲评论数在「3000-4999」安利：《Linked》《Starchild》《Don't Speak》电音励志，正是因为有这些音乐给我们生活打一管活力剂，我们才能像这样努力向上奋斗着。④序号141-180 歌曲评论数在「5000-9999」安利：《Real Life》《Good Life》⑤序号181-200 歌曲评论数在「10000-99999」无需安利，这一组是我挑出自己还没有太大腻觉的万评女声，相信大家有自己收藏好的万评电音的歌单————————————————————————————————综上推荐播放方式为随机播放，同时建议带耳机的村友把音量调至适当(୨୧•͈ᴗ•͈)◞︎ᶫᵒᵛᵉ ♡注意保护耳朵歌单于2019年10月6日制成，日后不再更新，村友自行复制后添加自己收集到的极致女声，当然你们的收藏是我最大的动力(ˊ˘ˋ*)♡封面 歌手shy martin ins:shy.martin,29484,1406849,200,102
欧美活力向 | 元气满满的一天从音乐中开始,欧美-流行-兴奋,介绍：年轻人的第一支“充电”歌单今天又是元气满满的一天,89375,5209042,63,458
小众英文歌歌单（！却意外的好听）,欧美-电子-另类/独立,介绍：强烈建议随机播放！就好像挖到一个又一个宝藏不断的给你惊喜你来人间一趟 你要看看太阳 和喜欢的人一起走在街上我也想要甜甜的恋爱！！甜甜的恋爱我已经有啦,48万,18678724,367,2038
踩点 | 前方高能 让你欲罢不能的BGM,欧美-电子-影视原声,介绍：适合电影混剪高能踩点的bgm【持续更新】【随机播放食用更佳】古风，暗黑，清新，治愈，甜美都有 肺炎来袭，大家做好预防工作哦！！,39万,19218032,144,692
[BGM]超带感欧美良曲（典藏版）,欧美-ACG-电子,介绍：【节奏控系列】精品节奏感欧美音乐跑步＋游戏＋抄作业必备曲库（好听又带感，这腿抖得根本停不下来）,99516,4891813,92,569
『英雄联盟』lol战歌,欧美-电子-游戏,介绍：LOL战歌1~11 2012~2019战歌Phoenix（英雄联盟2019全球总决赛主题曲 涅槃（S9）RISE（英雄联盟2018全球总决赛主题曲（S8）Legends Never Die（英雄联盟2017全球总决赛主题曲（S7）Ignite（英雄联盟2016全球总决赛主题曲（S6）Worlds Collide（英雄联盟2015全球总决赛主题曲（S5）Warriors（英雄联盟2014全球总决赛主题曲（S4）Hybrid Worlds（英雄联盟2013全球总决赛主题曲（S3）Silver Scrapes（英雄联盟2012全球总决赛主题曲（S2）Numb（英雄联盟2011全球总决赛主题曲（S1）12 Awaken（英雄联盟2019新赛季宣传曲13~15 英雄联盟“无限火力”模式主题曲Welcome to Planet UrfChallengersU.R.F.201416~21 全球总决赛BPPOP/STARSThe Throw DownRags To RingsRift walkingF3 Mighty MastersLegends Were Born22~23 排位赛模式新BPThe MarchChampion Select24 Bring Home the Glory(英雄联盟2019季中冠军赛主题曲）25 2018 Mid-Season Invitational Theme(英雄联盟2018季中冠军赛主题曲）26 Rift Rivals 2018(英雄联盟2018洲际系列赛主题曲）27 China Anthem(英雄联盟2016季中冠军赛LPL赛区战歌）28 Born a Champion(英雄联盟2015季中冠军赛决赛·决胜局BP音乐）29 You Will Remember(英雄联盟LCS联赛NA赛区2016年春季赛季后赛主题曲）30 We are（推荐by千孆小䋝31 我本不灭（推荐by炫酷霸气中国龙32 爱的大未来（推荐byPhillipsdd33 Gaints（？）34~42 War songs43 Season 2019 2019登陆界面44 #Lov3#Ng uH ng PDD洪荒之力45 DJ娑娜皮肤因为热爱 所以英雄,55518,3491866,45,158
「精选/耳熟/开口跪」那些曾火遍全球的神曲,欧美-流行,介绍：精选耳熟 玩游戏必备 持续更新中,49307,2845634,35,717
Monstercat - 学习 | 音乐让你更有效率,欧美-流行-电子,介绍：学生党们在漫长的求知过程中，一定有过学不进去的时候。不用担心，Monstercat的音乐天才们已经为你准备好了专用的背景音乐！跟着CloudNone， Conro， DESERT STAR， Duumu， SLANDER， Vicetone一起，快乐学习吧！,12885,539085,30,125
伴着聚光灯，踏入音乐剧的世界【音乐剧】,欧美-浪漫-感动,介绍：音乐剧，早期译称为歌舞剧，是一种舞台艺术形式，结合了歌唱、对白、表演、舞蹈。通过歌曲、台词、音乐、肢体动作等的紧密结合，把故事情节以及其中所蕴含的情感表现出来。虽然音乐剧和歌剧、舞剧、话剧等舞台表演形式有相似之处，但它的独特之处在于：它对歌曲、对白、肢体动作、表演等等因素给予同样的重视。音乐剧在全世界各地都有上演，但演出最频密的地方是美国纽约市的百老汇和英国的伦敦西区。,365,14513,128,3
拾叁先生强荐最火Bounce歌单,欧美-电子-舞曲,介绍：总有人把bounce曲风归结为”土嗨“，实则这只是一种不专业的表现，bounce曲风之所以今年再次大火更是其音乐魅力的体现，在韩国夜店风靡的弹跳节奏已经重新开始席卷世界各大Club，收下拾叁先生为你准备的歌单，感受bounce音乐瞬间上头的神奇魅力！,36018,2522407,57,212
节奏控 | 电子苏打，耳朵想喝气泡水,欧美-清新-电子,介绍：节奏控 | 电子苏打|耳朵想喝气泡水小清新电子风格耳目一新的感觉给耳朵来一罐柠檬苏打水清清凉凉，治愈躁郁症,27620,1424951,30,115
Deep House｜迷人旋律，深邃鼓点,性感-电子-欧美,介绍：简介：深浩室舞曲(DeepHouse)是浩室舞曲(House)下的一个子 风格，在1980年代末开始发展。它尝试将灵魂乐(Soul) 、爵士乐(Jazz)等元素融入其中。在芝加哥浩室舞曲(Chicago House)的浓郁的科技味道之上加入了更多人情味，它也算是向已经退潮的迪斯科(Disco) 的一次回溯。特征：Deep House有着相当浓厚的灵魂唱腔，之所以称为Deep House就是因为有深邃的感觉，Deep House风格介于Garage和House之间，它同样源于Chicago，也许是这个老工业城市沉重阴郁的现实色调赋予了DeepHouse同样的气质，使得这种音乐更适合聆听而不是酣畅起舞。滚滚而来的Bassline，一反常态的人声代替采样，间或闪烁其间的Jazz Chord，有时DeepHouse听.上去就像郁闷版的Garage。Deep House崇尚的是深度，精神至上，更偏重Jazz和Soul的感觉.,6729,289156,50,146
欧美 | 让你一秒沦陷,欧美-浪漫-流行,介绍：晚风轻踩着云朵月亮在贩售快乐你从银河背后靠近我我与星辉一同为你沦陷,17156,2851620,73,198
《韵律与思绪收集册》,欧美-流行-清新,介绍：收集情绪、清新与平静————有时我只是想找个宁静祥和的角落，平静一下自己过激的积极/消极情绪。偏偏总是冲出一些干涉平静的思想。我想一人，我想静静，我要脱离烦躁的思绪。或许该找一个“世外桃源”呆着，随歌一齐平静。————喜于平和，乐于清新。安于长眠，离于世俗。持续更新,25937,900491,30,324
Alan walker select,电子-流行-欧美,介绍：Allen took me into the electric sound.Feel the brainwashing of allen's electric sound,11879,564785,25,50
2020抖音英文歌曲最新热歌,欧美-电子-舞曲,介绍：喜欢歌单的可以点个关注哟网友强烈要求建议出一个英文歌单，那就建立一个英文歌单趴，欢迎大家在歌单留言，我会一直更新歌单，你们的小攀哟！,26787,2638132,320,22
<歌荒清除>接下来将拨动你的心弦,欧美-流行,介绍：歌荒看过来！经过单主耳朵的过滤，精良选曲能让我摇起来的歌就是好歌！！建议随机播放哦音乐就是用来享受的，自己听着开心就好，没必要被这么多条条框框拘束。喜欢听什么就听什么，喜欢做什么就去做什么！最后Nothing is impossible！,13759,1226723,56,135
英雄联盟主题曲,欧美-游戏,介绍：Numb为林肯公园为英雄联盟带来的s1主题曲。祝大家有个好心情(˶˚ ᗨ ˚˶)。我们是冠军！我们又是冠军！！2019-11-10 FPX！s9冠军！Phoenix！fly！（请大家理解一下我建立歌单的初衷只是为了听歌，没想到能有这么多人会听，所以肯定没办法让每个人都满意，谢谢你们）很遗憾的告诉各位，目前涅槃和真实伤害都没有版权。,47003,2891034,14,154
2019全球百大DJ排行榜,欧美-电子-榜单,介绍：北京时间10月20日早上，DJ MAG公布2019年全球百大DJ榜单！来自比利时的双人组合Dimitri Vegas & Like Mike荣登榜首。时隔三年，他们再次登顶DJ MAG全球百大DJ榜首！两位女DJ：Alison Wonderland与Nina Kraviz相比往年有不小的进步，今年分别位列第44和60。澳大利亚DJ Fisher则成为今年的年度黑马，空降第63名，考虑到单曲Losing It在过去一年的火爆程度，Fisher能取得这样的好成绩也不意外。而ILLENIUM紧随其后，空降第64位。此外，Avicii退出了今年的榜单。,11350,354071,100,585
欧美节奏控：充足能量，运动不停,欧美-运动-兴奋,介绍：本歌单的歌曲，都是一些超燃的英文歌曲。比较适合各种运动。秋季也是最适合运动减肥的季节，人体的新陈代谢加快，运动燃烧脂肪的效率高，摄入的热量容易被消耗，想运动减肥的，不能错过这个好季节哦！,44771,3109324,38,147
『轻快带感BGM』极致节奏，踩点燃向混剪,电子-欧美-兴奋,介绍：现在许多人喜欢用vlog来记录美好生活，录mlog上传的时候，是否缺少了与视频非常符合轻快踩点的音乐（bgm）呢？【精选了82首，超级适合，云村视频创作踩点 和 录vlog以及mlog音乐的素材】╭( ′• o •′ )╭☞燃向音乐，同样适用运动 写作业 上下班等场景音乐天生就有一种魔力，吸引着人去探索。音乐响起时，仿佛在头脑里浮现出一场震撼的美景！歌单灵感来源于油管kolder大神纪念溺亡哥哥的一段旅拍视频。极致带感的音乐和美丽的视频结合呈现出来的是极具震撼的效果！有些东西不用在意别人的看法，做自己就好，去追寻自己的爱好，比如音乐。,41395,3074330,82,98
【旋律电子】让跃动的彩虹激活你的心灵！,欧美-电子-流行,介绍：我是一个不折不扣的旋律控在听过摇滚、流行、金属等众多曲风之后，我还是执着于电子音乐为什么？因为电音的旋律纯粹，明朗，只通过寥寥音符便传递出了跃动和美妙。旋律与人声，旋律与节奏的完美融合都会给人无与伦比的享受。有的时候，你在听歌时会有这种感觉这个旋律我好像听过？这个旋律好像和心底的某个地方刚好契合？这首歌分析起来很难听，但是内心里为什么总有一个欲望想多听几次？这种感觉就像一道彩虹射穿云翳，一下子照进了心灵。因为扩音器的规律性高频震动，你甚至感到了幸福，这种事情是不是很奇怪？能够找到这些与自己的灵魂恰好契合的歌，我真的很幸运。,18005,977376,125,165
异域风情，覆盖着特立独行调味剂的香水味,欧美-流行-快乐,介绍：人以类聚，物以群分。 有人随波逐流，有人从未被洪流冲散。在漫长而枯燥的生命旅途里，依然保持着做梦的能力，理想又现实过着浪漫的生活。一切都那么自由，纯粹，灵魂与热爱。,5917,569917,69,120
你没听过的绝世宝藏,电子-华语-欧美,介绍：Psyke的私藏音乐歌单，这里有你没听过的绝世宝藏!,8333,391258,49,13
抖音英文最新热歌大全（2020更新中）,欧美-电子-摇滚,介绍：祝大家新年快乐,6833,725439,413,16
2019年Q-Dance百大Hardstyle金曲排行榜,欧美-电子-榜单,介绍：由荷兰Q-Dance发起投票的一年一度百大Hardstyle金曲排行榜.已于12月31日在EPIQ跨年音乐节正式公布！今年冠军曲由D-Block & S-te-Fan联手Sub Zero Project合作的“Darkest Hour (The Clock) ”拿下。来自荷兰的D-Block & S-te-Fan组合。自2015年来，D-Block&S-te-Fan一直是Harder Styles史上改变音乐风格的组合。在他们重返Hardstyle音乐道路同时也恢复了他们对Hardstyler的热爱和激情。用“Music made addictz”和“Rockin your mind”等专辑创造了Hardstyle的里程碑之后，在2017年，随着专辑《Antidote》的发行畅销后，每首歌都变得越来越好，通过《Angels & Demons》和《Ghost Stories》，他们找到了将旋律与能量相结合的独特方法。已经成立15周年的他们，未来的很多年里还有更多的东西在等着他们。D-Block & S-te-Fan永不止步！,7147,552983,100,47
百大DJ-W&W 精选 2020『游戏』歌单,欧美-电子-游戏,介绍：W&W为游戏爱好者带来了一份特别的礼物！听着歌单度过快乐的游戏时光吧！连胜走一波！,8550,391879,30,101
〖贾斯汀·比伯〗47首精选歌曲♥,流行-舞曲-欧美,介绍：Justin bieber 贾斯汀·比伯的精选歌曲,5433,259298,47,52
Louis The Child: 歌曲全收录,欧美-流行,介绍：想知道我们发行了哪些歌曲吗？想知道我们日常听什么歌曲吗？欢迎关注Louis the Child Complete 歌曲全收录歌单！,1197,17332,28,7
抵不过你回眸一笑.,欧美-榜单-电子,介绍：⁣,367,16941,208,6
